wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
8,3,0,11,33,4,0,11,6,0.7714286,167,1,4,0.8108108,0.25,1,3,19.25,5,2,0
9,1,0,3,12,20,1,2,8,0.8125,54,1,3,0,0.375,0,0,4.5555553,1,0.7777778,0
3,4,0,4,9,3,1,3,3,2,27,0,0,0.9722222,0.5555556,0,0,8,3,1,0
11,4,0,8,45,15,1,7,11,0.56666666,279,0.6666667,2,0.8548387,0.3272727,3,6,24.09091,10,2.5454545,1
3,3,0,3,8,1,2,1,3,0,49,1,1,0.9375,0.6666667,0,0,14.333333,4,1.3333334,0
3,1,0,69,3,3,69,0,3,2,3,0,0,0,1,0,0,0,1,1,0
6,4,0,7,16,9,1,6,5,0.8,72,1,1,0.93333334,0.7,0,0,10.5,3,1.1666666,0
4,1,0,6,18,0,0,6,4,0.33333334,100,1,1,0,0.5,0,0,23.5,3,1.25,0
6,1,0,3,14,0,2,1,6,0,58,1,0,0,0.53333336,0,0,8.5,1,0.6666667,0
6,1,0,4,15,15,3,1,5,2,125,0,0,0,0.4,0,0,19.833334,1,0.8333333,1
3,4,0,4,9,3,1,3,3,2,27,0,0,0.9722222,0.5555556,0,0,8,3,1,0
0,1,0,3,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
8,2,1,8,15,20,5,3,7,0.9142857,136,0.4,4,0.61538464,0.47619048,1,1,15.375,7,1.5,0
4,4,0,3,12,0,0,3,3,0.6666667,55,1,0,0.93333334,0.625,1,1,12.25,4,1.5,0
8,2,0,6,15,6,0,6,8,0.74285716,122,1,1,0.5625,0.4375,0,0,13.625,2,1.125,0
3,1,0,1,23,1,0,1,3,0.6666667,121,0.6666667,0,0,0.6666667,0,0,38.333332,5,1.6666666,0
2,1,0,4,2,1,3,2,2,2,2,0,0,0,0.6666667,0,0,0,1,1,0
3,4,0,3,20,3,0,3,1,2,82,0,0,0.95652175,0.5,1,1,26.333334,6,2.3333333,0
3,3,0,3,5,1,0,3,2,0.5,14,1,0,0.9736842,1,0,0,3.3333333,1,0.33333334,0
6,2,0,9,16,11,1,8,5,0.95,195,0.5833333,11,0.72727275,0.4,1,1,29.5,3,1,0
4,4,0,5,8,4,2,3,3,0.8333333,42,1,1,0.9444444,0.5833333,1,1,9,2,1,0
2,3,0,3,7,1,0,3,2,2,25,0,0,0.969697,1,0,0,11.5,1,0.5,0
5,3,9,18,12,10,16,2,4,2,62,0,0,0.88235295,0.53333336,1,1,11.4,5,2,0
2,2,0,3,13,1,1,2,2,2,48,0,0,0.875,0.75,0,0,23,5,2.5,0
2,2,0,6,20,1,1,5,2,2,80,1,0,0.75,0.75,1,1,38.5,1,0.5,0
4,4,0,4,7,0,0,4,3,0,34,1,0,0.9189189,0.5,1,1,7.25,2,1,0
5,5,0,2,9,10,0,2,2,2,24,0,0,0.96153843,0.4,1,2,3.8,1,0.6,0
6,1,0,3,25,0,1,2,6,0.3,135,1,0,0,0.44444445,0,0,21.166666,4,2,0
7,2,2,2,15,0,2,0,5,0.8666667,143,1,0,0.45454547,0.39285713,1,1,18.714285,1,0.85714287,0
5,3,0,9,44,8,1,8,3,0.625,298,1,0,0.84210527,0.54285717,1,1,57.8,1,0.6,1
25,1,1,13,59,248,9,4,20,0.875,290,1,1,0,0.17333333,0,0,10.36,6,1.4,0
5,2,0,8,16,8,1,7,1,0.875,77,0.5,0,0.5714286,0.4375,1,2,14,2,0.8,0
7,1,0,5,16,0,0,5,6,0.5,86,1,0,0,0.64285713,0,0,11,1,0.85714287,0
2,5,0,4,3,0,3,1,2,0,13,1,0,0.95454544,0.75,0,0,5,1,0.5,0
14,3,0,7,46,27,0,7,8,0.83760685,372,0.6666667,0,0.74,0.21428572,1,1,24.928572,5,1.8571428,0
17,2,2,9,51,28,5,4,12,0.546875,344,1,2,0.7922078,0.29411766,2,4,18.764706,5,2.1176472,2
2,5,0,3,3,0,2,1,2,0,13,1,0,0.95454544,0.75,0,0,5,1,0.5,0
2,1,0,2,9,0,0,2,2,0,74,1,1,0,0.6,0,0,35,1,0.5,0
4,2,0,4,8,0,1,3,4,0.33333334,37,1,0,0.75,0.625,0,0,8,3,1.25,0
4,4,0,7,19,6,0,7,4,2,74,0,0,0.94736844,0.875,0,0,17.5,2,1,0
10,1,1,4,23,0,4,0,10,0,298,1,0,0,0.36,0,0,28.7,6,2.6,0
12,2,0,7,37,44,0,7,9,0.8030303,231,1,2,0.45,0.29166666,0,0,17.75,5,1.6666666,0
28,4,5,23,45,348,5,23,28,0.037037037,204,1,0,0.5645161,0.07919255,0,0,6.25,4,1.2142857,1
4,6,0,4,16,0,0,4,3,0.33333334,52,1,0,0.973913,0.75,2,2,11.75,2,1,0
4,3,0,3,7,0,0,3,4,0,26,1,0,0.8695652,0.625,0,0,5.25,1,0.75,0
1,1,0,23,1,0,23,0,1,2,1,0,0,0,1,0,0,0,1,1,0
2,2,0,2,15,1,0,2,2,2,73,0,0,0.875,0.75,0,0,35.5,6,3,0
4,3,0,3,16,2,0,3,4,0.6666667,76,1,0,0.925,0.5,1,1,17.5,3,1.25,0
6,4,0,5,25,15,0,5,5,2,94,0,0,0.9479167,0.8333333,1,1,14.666667,3,1.1666666,0
1,1,0,9,1,0,8,1,1,2,1,0,0,0,1,0,0,0,1,1,0
12,4,0,6,45,66,0,6,11,2,173,0,0,0.89215684,0.30555555,1,1,13.416667,5,1.4166666,0
3,2,0,6,32,3,0,6,1,2,185,0,0,0.88235295,0.6666667,1,2,60.666668,12,4.3333335,0
26,4,0,4,34,203,0,4,26,0.88,399,1,0,0.67105263,0.4871795,1,1,13.884615,1,0.96153843,0
3,1,0,3,3,3,2,1,3,2,3,0,0,0,0.6666667,0,0,0,1,1,0
3,2,5,7,4,1,6,1,2,0.5,16,1,0,0.75,0.5555556,0,0,4,1,0.6666667,0
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
4,2,0,5,9,0,5,1,4,0.33333334,27,1,0,0.6666667,0.625,1,1,5.5,1,0.75,0
1,1,0,3,1,0,3,0,1,2,1,0,0,0,1,0,0,0,1,1,0
9,3,0,7,20,12,5,6,9,0.75,75,1,0,0.82222223,0.25925925,0,0,7,1,0.8888889,0
1,6,1,3,2,0,2,1,1,2,4,0,0,1,1,0,0,3,0,0,0
4,2,0,4,13,0,1,3,4,0.33333334,85,1,0,0.75,0.5,0,0,19.75,1,0.75,0
5,3,3,6,12,2,4,2,5,0.625,48,1,0,0.902439,0.46666667,0,0,8.2,1,0.8,0
3,4,0,5,15,3,0,5,2,2,51,0,0,0.97849464,0.6666667,1,1,16,2,1,0
7,1,7,14,24,11,10,12,7,1.0833334,124,0.21428572,0,0,0.35714287,0,0,14.714286,1,0.85714287,0
3,5,1,9,14,3,8,2,3,2,52,0,0,0.96875,0.5555556,1,1,16.333334,3,1.6666666,0
2,4,0,4,8,1,0,4,2,2,25,0,0,0.9807692,1,1,1,11.5,1,0.5,0
3,3,0,2,11,3,1,1,3,2,25,0,0,0.8,0.6666667,2,2,7.3333335,1,0.6666667,0
12,1,0,2,21,42,2,1,4,0.6545454,146,0.8,0,0,0.2638889,0,0,10.75,1,0.8333333,0
1,1,0,22,1,0,21,1,1,2,1,0,0,0,1,0,0,0,1,1,0
4,2,0,1,15,6,0,1,1,1.3333334,49,1,0,0.84210527,1,1,1,11,1,0.75,0
4,1,0,8,14,6,1,7,3,0.6666667,79,0,0,0,0.33333334,0,0,18.25,2,1,0
3,1,0,3,6,3,1,2,2,2,16,0,0,0,0.33333334,0,0,4.3333335,1,0.6666667,0
10,2,0,6,26,9,2,4,7,0.7222222,156,1,1,0.5,0.25,1,1,14,3,1.1,0
7,2,0,4,21,3,2,4,7,0.6666667,108,1,0,0.5,0.42857143,1,1,13.714286,2,1,0
14,1,0,5,14,91,5,0,14,2,14,0,0,0,0.27142859,0,0,0,1,1,0
4,3,0,3,18,4,0,3,3,0.6666667,147,1,0,0.925,0.75,1,1,35.5,1,0.75,0
5,4,0,3,17,10,0,3,4,2,87,0,0,0.94871795,0.53333336,1,2,16.4,3,1.2,0
1,7,0,1,7,0,0,1,1,2,40,0,0,1,1,0,0,37,0,0,0
6,1,0,1,16,11,1,0,2,0.85,202,1,0,0,0.3611111,0,0,32,1,0.8333333,0
6,5,0,4,13,9,0,4,2,0.6,70,1,0,0.96153843,0.4,1,2,10.5,1,0.5,0
2,1,0,20,2,1,18,2,2,2,2,0,0,0,1,0,0,0,1,1,0
1,1,0,1,1,0,1,0,1,2,2,0,0,0,1,0,0,0,1,1,0
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
8,1,0,5,16,6,5,0,7,0.5714286,284,1,0,0,0.5416667,0,0,34.25,13,2.375,0
11,4,0,8,38,55,0,8,10,2,122,0,0,0.9009901,0.3030303,1,1,10.090909,2,1,0
1,1,0,14,1,0,13,1,1,2,1,0,0,0,1,0,0,0,1,1,0
2,2,0,1,6,1,0,1,1,2,20,0,0,0.875,0.75,1,1,9,1,0.5,0
3,2,0,4,6,0,1,3,3,0,34,1,0,0.8181818,0.6666667,0,0,10,2,1,0
2,2,0,1,6,1,0,1,1,2,20,0,0,0.875,0.75,1,1,9,1,0.5,0
7,2,0,4,21,3,2,4,7,0.6666667,108,1,0,0.5,0.42857143,1,1,13.714286,2,1,0
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,0
5,4,0,5,18,10,0,5,4,2,81,0,0,0.94871795,0.8,1,2,15.2,3,1.2,0
12,2,0,8,41,48,1,7,9,0.6363636,203,1,0,0.74418604,0.21875,1,1,15.75,7,1.5833334,0
2,1,0,6,23,1,3,4,2,2,265,0,0,0,0.5,0,0,131.5,1,0.5,0
7,3,0,7,28,0,0,7,6,0.6666667,191,1,1,0.8604651,0.31428573,0,0,25.714285,2,1,0
3,2,0,3,36,3,1,2,1,2,241,0,0,0.88235295,0.6666667,1,2,79.333336,18,6.3333335,1
7,4,0,6,28,21,0,6,6,2,92,0,0,0.9381443,0.42857143,1,1,12.142858,2,1,0
3,5,0,10,12,1,6,4,3,2,76,0,0,0.95348835,0.6666667,1,1,24.333334,4,1.6666666,0
9,3,0,8,38,14,1,8,7,0.875,345,1,0,0.76666665,0.375,3,5,36.555557,3,1.2222222,0
1,3,0,6,2,0,6,0,1,2,5,0,0,1,1,0,0,4,0,0,0
4,2,0,8,10,0,6,2,4,0.33333334,125,1,0,0.75,0.5,0,0,29.5,2,1,0
11,3,0,10,39,0,0,10,11,0.7,247,1,1,0.78723407,0.45454547,1,1,21.09091,2,1.4545455,0
3,5,0,7,14,3,6,2,3,2,52,0,0,0.96875,0.5555556,1,1,16.333334,3,1.6666666,0
3,2,0,4,6,0,1,3,3,0,30,1,0,0.8181818,0.6666667,0,0,8.666667,2,1,0
2,1,0,4,2,1,4,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
1,1,0,0,2,0,0,0,1,2,16,0,0,0,1,0,0,3,0,0,1
8,3,0,7,25,12,0,7,8,0.88095236,133,1,2,0.84090906,0.27083334,1,1,14.875,3,1.625,0
7,1,0,3,15,21,2,1,7,2,66,0,0,0,0.52380955,0,0,8.428572,1,0.85714287,0
7,2,0,4,21,3,2,4,7,0.6666667,108,1,0,0.5,0.42857143,1,1,13.714286,2,1,0
9,5,0,4,28,12,0,4,8,0.5,217,1,0,0.8,0.4814815,2,5,22.666666,1,0.7777778,0
1,1,0,3,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
9,1,0,5,24,4,5,0,3,0.41666666,156,1,0,0,0.3125,0,0,16,6,1.8888888,0
4,4,12,15,7,4,12,3,3,0.6666667,22,1,1,0.9285714,0.5,0,0,4.25,1,0.5,0
4,3,1,3,5,4,1,2,4,0.6666667,17,1,0,0.925,0.625,0,0,3,1,0.75,0
4,2,0,2,12,0,1,1,3,0.22222222,68,1,1,0.625,0.5,1,1,15.25,1,0.75,0
6,4,0,3,20,15,0,3,5,2,106,0,0,0.93670887,0.5555556,1,2,16.666666,4,1.3333334,0
6,2,0,6,16,1,5,3,6,0.6,84,1,0,0.54545456,0.44444445,1,1,12.333333,2,1,0
8,4,0,16,25,28,13,3,5,2,122,0,0,0.88,0.3125,1,1,14.25,6,1.75,0
3,3,0,2,11,3,1,1,3,2,25,0,0,0.8,0.6666667,2,2,7.3333335,1,0.6666667,0
0,1,0,4,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,3,0,4,11,0,0,4,3,0,35,1,1,0.9375,0.6666667,0,0,10.333333,2,1,0
3,3,0,2,11,3,1,1,3,2,25,0,0,0.8,0.6666667,2,2,7.3333335,1,0.6666667,0
7,4,0,13,26,0,6,7,7,0.45833334,198,1,2,0.85365856,0.39285713,1,3,26.714285,5,2.5714285,0
3,1,0,3,18,0,2,1,3,0.25,204,1,0,0,0.6666667,0,0,65.666664,2,1,0
24,1,0,24,24,276,4,20,24,2,24,0,0,0,0.08928572,0,0,0,1,1,0
4,3,0,4,16,0,1,4,4,0.33333334,46,1,0,0.72727275,0.5,2,3,10.25,1,0.75,0
15,1,2,7,24,77,2,5,13,0.87142855,109,1,2,0,0.33333334,0,0,5.9333334,2,1,0
1,1,0,4,1,0,4,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,4,1,0,3,2,1,2,1,0,0,0,1,0,0,0,1,1,0
4,6,0,4,16,0,0,4,3,0.33333334,52,1,0,0.973913,0.75,2,2,11.75,2,1,0
12,5,0,10,52,60,2,9,10,0.54545456,213,1,0,0.87341774,0.2777778,3,6,16.666666,4,1.4166666,0
1,4,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,0
3,2,0,3,31,3,0,3,1,2,202,0,0,0.88235295,0.6666667,1,2,66.333336,14,5,0
2,3,0,3,4,1,1,2,1,2,19,0,0,0.9375,1,2,2,8,1,0.5,0
4,4,0,3,14,6,0,3,3,2,68,0,0,0.96103895,0.5,1,2,16,2,1,0
3,5,0,7,14,3,6,2,3,2,52,0,0,0.96875,0.5555556,1,1,16.333334,3,1.6666666,0
5,2,0,7,14,0,6,3,5,0.375,51,1,0,0.6,0.46666667,1,1,8.8,1,0.8,0
5,1,0,7,5,10,6,1,5,2,5,0,0,0,0.4,0,0,0,1,1,0
10,1,0,5,10,45,4,1,10,2,10,0,0,0,0.36,0,0,0,1,1,0
5,3,0,6,26,0,0,6,4,0.375,141,1,0,0.902439,0.46666667,0,0,26.8,1,0.8,0
13,5,0,9,34,68,6,4,12,0.75,199,1,0,0.8378378,0.2923077,2,8,14.153846,5,2.1538463,0
3,1,0,2,3,3,2,0,3,1.5,4,0,0,0,0.6666667,0,0,0,1,1,0
15,1,0,3,29,55,3,0,15,0.6964286,161,1,1,0,0.29333332,1,1,9.466666,3,1.3333334,0
2,1,0,2,18,0,0,2,2,0,83,1,0,0,0.75,0,0,40,6,3,0
2,1,0,6,2,1,6,0,2,2,2,0,0,0,0.6666667,0,0,0,1,1,0
7,2,0,5,27,0,1,4,7,0.5,115,1,0,0.6,0.47619048,0,0,15.142858,4,1.2857143,0
16,1,3,6,40,80,3,3,10,0.85833335,254,0.875,2,0,0.24107143,0,0,14.375,3,1.375,0
1,5,0,1,3,0,0,1,1,2,7,0,0,1,1,0,0,6,0,0,0
3,3,0,2,11,3,1,1,3,2,25,0,0,0.8,0.6666667,2,2,7.3333335,1,0.6666667,0
4,1,0,2,13,6,1,1,4,2,45,0,0,0,0.625,0,0,10.25,2,1,0
5,4,0,5,21,10,0,5,4,2,71,0,0,0.95789474,0.53333336,1,1,13.2,2,1,0
4,1,0,8,14,6,1,7,3,0.6666667,79,0,0,0,0.33333334,0,0,18.25,2,1,0
3,1,0,2,5,3,2,0,3,2,19,0,0,0,0.5,0,0,5.3333335,1,0.6666667,0
8,5,0,10,23,0,6,4,8,0.7619048,197,0.5,0,0.84444445,0.35,1,4,22.875,6,2.25,0
3,5,0,3,7,0,3,0,3,0,27,1,0,0.9285714,0.6666667,0,0,7.6666665,1,0.33333334,0
13,3,0,9,41,48,1,8,7,0.5833333,285,1,0,0.7037037,0.35576922,2,3,20.692308,1,0.61538464,0
3,1,0,1,4,1,1,0,3,0.5,14,1,0,0,0.6666667,0,0,3.3333333,1,0.6666667,0
4,5,0,7,15,0,6,2,4,0.33333334,77,1,0,0.95384616,0.4375,1,1,18,5,2,0
4,1,0,6,4,6,5,1,4,2,4,0,0,0,0.5,0,0,0,1,1,0
1,5,0,1,8,0,0,1,1,2,18,0,0,1,1,0,0,17,0,0,0
7,3,5,9,26,0,5,4,6,0,141,1,0,0.85714287,0.31428573,1,3,19,3,1.5714285,0
1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
5,2,0,4,13,0,1,4,4,0.625,76,1,1,0.7,0.5,0,0,13.4,1,0.6,0
34,4,0,10,92,39,0,10,29,0.7234849,710,1,2,0.6436782,0.14848486,3,4,19.647058,5,1.9117647,1
3,2,0,7,18,3,1,6,1,1.25,82,0,0,0.6666667,0.5833333,1,2,25.666666,1,0.6666667,0
5,1,0,9,13,0,8,1,5,0,69,1,0,0,0.53333336,0,0,12.6,3,1.2,0
26,4,0,7,50,271,0,7,20,0.95578945,392,0.47368422,0,0.65753424,0.3846154,2,3,13.346154,9,1.5,0
20,4,0,7,42,148,0,7,15,0.9186603,263,0.54545456,0,0.7164179,0.3875,2,3,11.6,6,1.4,0
4,1,0,5,4,6,2,3,4,2,4,0,0,0,0.4,0,0,0,1,1,0
1,3,0,1,2,0,1,0,1,2,5,0,0,1,1,0,0,4,0,0,0
4,4,0,3,7,0,1,2,4,0,161,1,0,0.9285714,0.75,2,4,38.5,1,0.5,0
6,3,0,4,24,1,0,4,6,0.7,135,1,0,0.88095236,0.41666666,3,3,20.833334,1,0.8333333,0
3,1,0,5,3,3,4,2,3,1.5,8,0,0,0,0.6666667,0,0,0,1,1,0
0,1,0,1,0,0,1,0,0,2,48,0,0,0,0,0,0,0,0,0,0
4,2,0,4,17,0,0,4,4,0.33333334,57,1,0,0.84210527,0.875,1,1,13,5,1.75,1
6,3,0,5,17,5,0,5,5,0.73333335,94,1,0,0.88095236,0.5,0,0,14.166667,1,0.8333333,0
6,5,2,8,21,15,2,6,5,2,83,0,0,0.95535713,0.41666666,1,1,12.833333,3,1.1666666,1
6,1,0,3,11,1,1,2,6,0.7,74,1,0,0,0.5555556,0,0,10.666667,1,0.8333333,0
1,1,0,10,1,0,8,2,1,2,1,0,0,0,1,0,0,0,1,1,0
5,3,0,4,15,4,0,4,5,0.75,90,1,0,0.902439,0.53333336,0,0,16.4,1,0.8,0
1,1,0,7,1,0,4,3,1,2,1,0,0,0,1,0,0,0,1,1,0
2,3,0,1,3,1,1,0,2,2,7,0,0,0.94736844,0.75,1,1,2.5,1,0.5,0
22,4,0,7,45,183,0,7,18,0.94957983,307,0.47058824,0,0.6956522,0.38636363,2,3,12.181818,11,1.5454545,0
5,4,0,6,17,0,1,6,5,0.55,134,0,0,0.92727274,0.53333336,1,1,24.8,1,0.8,0
5,4,0,8,23,4,4,8,5,0.75,249,1,0,0.92727274,0.8,2,2,48.2,1,0.8,0
15,4,3,499,30,0,498,1,15,0.39285713,153,1,1,0.61904764,0.32222223,1,3,9.066667,2,0.6666667,0
28,4,0,20,78,142,1,20,26,0.78518516,503,1,1,0.74285716,0.18303572,2,2,16.785715,3,1.1428572,0
17,4,0,7,39,100,0,7,14,0.9375,241,0.46153846,0,0.75,0.38235295,2,3,12.411765,7,1.4117647,0
4,4,8,12,5,0,8,4,3,0.33333334,18,1,1,0.92105263,0.4375,0,0,3.25,1,0.75,0
1,1,0,0,2,0,0,0,1,2,15,0,0,0,1,0,0,3,0,0,0
8,5,0,5,26,0,1,4,5,0.5714286,172,1,0,0.8235294,0.375,2,5,20.125,4,1.125,0
19,4,0,7,40,129,0,7,16,0.93650794,252,0.5,0,0.72727275,0.38157895,2,3,11.526316,6,1.3157895,0
5,4,0,7,27,4,0,7,4,0.9166667,109,0.33333334,0,0.9230769,0.46666667,2,3,20.2,2,1,0
3,2,0,5,16,3,0,5,2,2,95,0,0,0.8181818,0.6666667,0,0,30.666666,2,1,0
9,3,0,0,16,34,0,0,8,0,60,1,0,0.8,0.6666667,1,1,5.5555553,2,1,0
6,3,0,5,22,7,1,4,4,0.8666667,98,1,0,0.92537314,0.45833334,2,4,14.833333,2,1.1666666,0
10,5,0,5,25,0,1,4,6,0.7037037,251,1,1,0.7777778,0.375,2,4,23.2,5,1.6,0
14,1,0,10,53,0,8,8,14,0.42307693,419,1,0,0,0.2857143,0,0,28.785715,7,3.642857,0
1,5,0,1,4,0,0,1,1,2,11,0,0,1,1,0,0,9,0,0,0
4,1,0,8,20,0,4,4,4,0.7777778,106,1,1,0,0.625,0,0,24.75,5,1.75,0
6,3,0,3,32,0,0,3,5,0.6,1254,1,0,0.88095236,0.5555556,1,1,207.33333,2,1,0
7,5,0,4,18,0,1,3,5,0.7083333,126,1,0,0.8484849,0.47619048,2,5,16.428572,5,1.2857143,0
3,2,0,6,15,3,0,6,2,2,50,0,0,0.92,1,0,0,15.666667,1,0.6666667,0
21,4,2,9,55,162,4,5,18,0.71,361,1,1,0.76811594,0.19375,2,9,15.952381,6,1.6190476,0
1,1,0,36,1,0,35,1,1,2,1,0,0,0,1,0,0,0,1,1,0
12,4,0,8,41,66,0,8,11,2,130,0,0,0.89215684,0.30555555,1,1,9.833333,2,1,0
10,1,1,6,20,39,1,5,7,0.5555556,129,1,0,0,0.525,0,0,11.8,4,1.2,0
12,5,0,3,39,58,1,2,11,0.6909091,213,1,0,0.97542995,0.4,0,0,16.333334,2,1,1
4,1,0,2,7,6,1,1,4,2,20,0,0,0,0.875,0,0,4,1,0.75,0
5,1,2,8,13,10,2,6,2,2,53,0,0,0,0.56,0,0,9.6,1,0.8,0
4,5,0,5,7,0,3,2,4,0,29,1,0,0.95454544,0.625,0,0,6,1,0.25,0
7,1,0,2,24,19,1,1,3,0.6666667,373,0,0,0,0.41666666,0,0,52.142857,6,2,0
2,3,0,3,7,1,1,3,2,2,23,0,0,0.969697,1,0,0,10.5,1,0.5,0
3,1,0,4,7,3,1,3,3,2,17,0,0,0,0.5555556,0,0,4.6666665,1,0.6666667,0
20,4,0,7,52,154,0,7,19,0.94298244,377,0.5,0,0.6935484,0.3,2,2,17.25,6,1.2,0
0,1,0,4,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,2,0,5,7,1,1,4,3,0.5,29,1,0,0.8181818,0.6666667,0,0,8.333333,1,0.6666667,0
3,1,0,12,38,3,1,11,2,1.5,182,0,0,0,0.8333333,0,0,59.333332,12,4.3333335,0
